name,birthdate,age,ch_elevated_date,ch_title,ProfileLink,gc_raw_description
"(Isaac)Thottunkal, Baselios",1959-06-15,65,,"Major Archbishop ofTrivandrum (Syro-Malankara),India",https://www.catholic-hierarchy.org/bishop/bthoi.html,
"Advincula, Jose",1952-03-30,73,,,,"Advincula, Jose Fuerte(73),Cardinal-PriestofS. VigilioandMetropolitan ArchbishopofManila(Philippines)"
"Aguiar Retes, Carlos",1950-01-09,75,,,,"Aguiar Retes, Carlos(75),Cardinal-PriestofSs. Fabiano e Venanzio a Villa FiorelliandMetropolitan ArchbishopofMéxico(Mexico)"
"Aguiar, Américo",1973-12-12,51,,"Bishop ofSetúbal,Portugal",https://www.catholic-hierarchy.org/bishop/balvagu.html,
"Alves Aguiar, Américo",1973-12-12,51,,,,"Alves Aguiar, Américo Manuel(51),Cardinal-PriestofS. Antonio da Padova in Via MerulanaandBishopofSetúbal(Portugal)"
"Ambongo Besungu, Fridolin",1960-01-24,65,,,,"Ambongo Besungu, Fridolin,O.F.M. Cap.(65),Cardinal-PriestofS. Gabriele Arcangelo all’Acqua Traversa,Metropolitan ArchbishopofKinshasa(Congo-Kinshasa),PresidentofSymposium of Episcopal Conferences of Africa and MadagascarandMemberofCouncil of Cardinals"
"Aparicio, Luis",1962-03-03,63,,"Archbishop ofBogotá,Colombia",https://www.catholic-hierarchy.org/bishop/bruap.html,
"AppiahTurkson, Peter",1948-10-11,76,,Chancellor of theRoman Curia - Other,https://www.catholic-hierarchy.org/bishop/bturkson.html,
"Arborelius, Anders",1949-09-24,75,,,,"Arborelius, Anders,O.C.D.(75),Cardinal-PriestofS. Maria degli Angeli,BishopofStockholm(Sweden)andMemberofCouncil for the Economy"
"Artime, ÁngelFernández",1960-08-21,64,,Pro-Prefect Emeritus of the Dicastery forInstitutes of Consecrated Life and Societies of Apostolic Life,https://www.catholic-hierarchy.org/bishop/bferart.html,
"AtcherleyDew, John",1948-05-05,76,,"Archbishop Emeritus ofWellington,New Zealand",https://www.catholic-hierarchy.org/bishop/bdew.html,
"AurelioPoli, Mario",1947-11-29,77,,"Archbishop Emeritus ofBuenos Aires,Argentina",https://www.catholic-hierarchy.org/bishop/bpoli.html,
"Aveline, Jean",1958-12-26,66,,,,"Aveline, Jean-Marc Noël(66),Cardinal-PriestofS. Maria ai Monti,Metropolitan ArchbishopofMarseille(France)andPresidentofBishops’ Conference of France"
"Aviz, JoãoBráz",1947-04-24,78,,Prefect Emeritus of the Dicastery forInstitutes of Consecrated Life and Societies of Apostolic Life,https://www.catholic-hierarchy.org/bishop/bbraza.html,
"Baggio, Fabio",1965-01-15,60,,,,"Baggio, Fabio,C.S.(60),Cardinal-DeaconofS. Filippo Neri in Eurosia,UndersecretaryofDicastery for Promoting Integral Human DevelopmentandSecretaryofVatican COVID-19 Commission"
"Barbarin, Philippe",1950-10-17,74,,,,"Barbarin, Philippe Christian Ignace Marie(74),Cardinal-PriestofSS. Trinità al Monte PincioandMetropolitan Archbishopemeritus ofLyon(France)"
"Battaglia, Domenico",1963-01-20,62,,,,"Battaglia, Domenico(62),Cardinal-PriestofS. Marco in Agro LaurentinoandMetropolitan ArchbishopofNapoli(Italy)"
"Becciu, Giovanni",1948-06-02,76,,,,"Becciu, Giovanni Angelo(76),Cardinal-DeaconofS. Lino,Prefectemeritus ofCongregation for the Causes of SaintsandformerSpecial DelegatetoSovereign Military Hospitaller Order of Saint John of Jerusalem of Rhodes and of Malta (Knights of Malta)"
"Berhouet, Daniel",1959-07-04,65,,"Archbishop ofMontevideo,Uruguay",https://www.catholic-hierarchy.org/bishop/bstbe.html,
"Bessi Dogbo, Ignace",1961-08-17,63,,,,"Bessi Dogbo, Ignace(63),Cardinal-PriestofSs. Mario e Compagni MartiriandMetropolitan ArchbishopofAbidjan(Cote d’Ivoire)"
"Besungu, FridolinAmbongo",1960-01-24,65,,"Archbishop ofKinshasa,Congo (Dem. Rep.)",https://www.catholic-hierarchy.org/bishop/bbesu.html,
"Betori, Giuseppe",1947-02-25,78,,,,"Betori, Giuseppe(78),Cardinal-PriestofS. MarcelloandMetropolitan Archbishopemeritus ofFirenze(Italy)"
"Bo, Charles",1948-10-29,76,,,,"Bo, Charles Maung,S.D.B.(76),Cardinal-PriestofS. Ireneo a Centocelle,Metropolitan ArchbishopofYangon(Myanmar)andPresidentofMyanmar Catholic Bishops’ Conference"
"Bokalic Iglic, Vicente",1952-06-11,72,,,,"Bokalic Iglic, Vicente,C.M.(72),Cardinal-PriestofS. Maria Maddalena in Campo MarzioandArchbishopofSantiago del Estero(Argentina)"
"Bozanić, Josip",1949-03-20,76,,,,"Bozanić, Josip(76),Cardinal-PriestofS. Girolamo dei Croati,Metropolitan Archbishopemeritus ofZagreb(Croatia)andformerVice-PresidentofCroatian Bishops’ Conference"
"Brenes Solórzano, Leopoldo",1949-03-07,76,,,,"Brenes Solórzano, Leopoldo José(76),Cardinal-PriestofS. Gioacchino ai Prati di Castello,Metropolitan ArchbishopofManagua(Nicaragua)andVice-PresidentofEpiscopal Conference of Nicaragua"
"Brislin, Stephen",1956-09-24,68,,,,"Brislin, Stephen(68),Cardinal-PriestofS. Maria Domenica Mazzarello,Metropolitan ArchbishopofJohannesburg(South Africa),PresidentofSouthern African Catholic Bishops’ ConferenceandApostolic AdministratorofCape Town(South Africa)"
"Bráz de Aviz, João",1947-04-24,78,,,,"Bráz de Aviz, João(78),Cardinal-PriestofS. Elena fuori Porta Prenestinapro hac viceTitle,Metropolitan Archbishopemeritus ofBrasília(Brazil)andPrefectemeritus ofDicastery for Institutes of Consecrated Life and for Societies of Apostolic Life"
"Burke, Raymond",1948-06-30,76,,,,"Burke, Raymond Leo(76),Cardinal-PriestofS. Agata de’ Gotipro hac viceTitle,Metropolitan Archbishopemeritus ofSaint Louis(USA)andPatronemeritus ofSovereign Military Hospitaller Order of Saint John of Jerusalem of Rhodes and of Malta (Knights of Malta)"
"Bustillo, François",1968-11-23,56,,,,"Bustillo, François-Xavier,O.F.M. Conv.(56),Cardinal-PriestofS. Maria Immacolata di Lourdes a BocceaandBishopofAjaccio(France)"
"Bychok, Mykola",1980-02-13,45,,,,"Bychok, Mykola,C.SS.R.(45)(Ukrainian Rite),Cardinal-PriestofS. Sofia a Via BocceaandBishopofSaints Peter and Paul of Melbourneof theUkrainians(Australia)"
"Cabrera Herrera, Luis",1955-10-11,69,,,,"Cabrera Herrera, Luis Gerardo,O.F.M.(69),Cardinal-PriestofSanta Famiglia di Nazareth a Centocelle,Metropolitan ArchbishopofGuayaquil(Ecuador)andPresidentofEpiscopal Conference of Ecuador"
"Cano, JoséCobo",1965-09-20,59,,"Archbishop ofMadrid,Spain",https://www.catholic-hierarchy.org/bishop/bcobcan.html,
"Cantoni, Oscar",1950-09-01,74,,,,"Cantoni, Oscar(74),Cardinal-PriestofS. Maria «Regina Pacis» a Monte VerdeandBishopofComo(Italy)"
"Castillo Mattasoglio, Carlos",1950-02-28,75,,,,"Castillo Mattasoglio, Carlos Gustavo(75),Cardinal-PriestofS. Maria delle Grazie a Casal BocconeandMetropolitan ArchbishopofLima(Peru)"
"Cañizares Llovera, Antonio",1945-10-15,79,,,,"Cañizares Llovera, Antonio(79),Cardinal-PriestofS. PancrazioandMetropolitan Archbishopemeritus ofValencia(Spain)"
"CezarCosta, Paulo",1967-07-20,57,,"Archbishop ofBrasília, Distrito Federal,Brazil",https://www.catholic-hierarchy.org/bishop/bcescos.html,
"Chomali Garib, Fernando",1957-05-10,67,,,,"Chomali Garib, Fernando Natalio(67),Cardinal-PriestofS. Mauro AbateandMetropolitan ArchbishopofSantiago(Chile)"
"Chow Sau-yan, Stephen",1959-08-07,65,,,,"Chow Sau-yan, Stephen,S.J.(周守仁)(65),Cardinal-PriestofS. Giovanni Battista de La SalleandBishopofHong Kong 香港(Hong Kong)"
"ChristopherCollins, Thomas",1947-01-16,78,,"Archbishop Emeritus ofToronto, Ontario,Canada",https://www.catholic-hierarchy.org/bishop/bcollins.html,
"Chye, WilliamGoh",1957-06-25,67,,Archbishop ofSingapore,https://www.catholic-hierarchy.org/bishop/bgoh.html,
"Clemente, Manuel",1948-07-16,76,,"Patriarch Emeritus ofLisboa {Lisbon},Portugal",https://www.catholic-hierarchy.org/bishop/bmacnc.html,
"Cobo Cano, José",1965-09-20,59,,,,"Cobo Cano, José(59),Cardinal-PriestofS. Maria in Monserrato degli Spagnoli,Metropolitan ArchbishopofMadrid(Spain),OrdinaryofSpainof theEastern Rite(Spain)andVice-PresidentofEpiscopal Conference of Spain"
"Collins, Thomas",1947-01-16,78,,,,"Collins, Thomas Christopher(78),Cardinal-PriestofS. PatrizioandMetropolitan Archbishopemeritus ofToronto(Canada)"
"Costa, Paulo",1967-07-20,57,,,,"Costa, Paulo Cezar(57),Cardinal-PriestofSs. Bonifacio ed AlessioandMetropolitan ArchbishopofBrasília(Brazil)"
"Coutts, Joseph",1945-07-21,79,,,,"Coutts, Joseph(79),Cardinal-PriestofS. Bonaventura da BagnoregioandMetropolitan Archbishopemeritus ofKarachi(Pakistan)"
"Cupich, Blase",1949-03-19,76,,,,"Cupich, Blase Joseph(76),Cardinal-PriestofS. Bartolomeo all’IsolaandMetropolitan ArchbishopofChicago(USA)"
"CyprienLacroix, Gérald",1957-07-27,67,,"Archbishop ofQuébec,Canada",https://www.catholic-hierarchy.org/bishop/blacrgc.html,
"Czerny, Michael",1946-07-18,78,,,,"Czerny, Michael,S.J.(78),Cardinal-DeaconofS. Michele Arcangelo,PrefectofDicastery for Promoting Integral Human Development,PresidentofVatican COVID-19 CommissionandMemberofCouncil of the Section for Relations with States and International Organisations"
"DanielGregory, Wilton",1947-12-07,77,,"Archbishop Emeritus ofWashington, District of Columbia,USA",https://www.catholic-hierarchy.org/bishop/bgregory.html,
"David, Pablo",1959-03-02,66,,,,"David, Pablo Virgilio Siongco(66),Cardinal-PriestofTrasfigurazione di Nostro Signore Gesù Cristo,BishopofKalookan(Philippines),PresidentofCatholic Bishops’ Conference of the Philippines (C.B.C.P.)andVice-PresidentofFederation of Asian Bishops’ Conferences"
