Name,Age,Date of Birth
"Mykola Bychok, C.SS.R.",45,1980-02-13
"Giorgio Marengo, I.M.C.",50,1974-06-07
Américo Manuel Alves Aguiar,51,1973-12-12
George Jacob Koovakad,51,1973-08-11
Rolandas Makrickas,53,1972-01-31
Frank Leo,53,1971-06-30
Baldassare Reina,54,1970-11-26
"François-Xavier Bustillo, O.F.M. Conv.",56,1968-11-23
"Virgilio do Carmo da Silva, S.D.B.",57,1967-11-27
Paulo Cezar Costa,57,1967-07-20
"Dieudonné Nzapalainga, C.S.Sp.",58,1967-03-14
Roberto Repole,58,1967-01-29
José Tolentino Calaça de Mendonça,59,1965-12-15
"Mauro Gambetti, O.F.M. Conv.",59,1965-10-27
José Cobo Cano,59,1965-09-20
"Pierbattista Pizzaballa, O.F.M.",60,1965-04-21
"Fabio Baggio, C.S.",60,1965-01-15
Augusto Paolo Lojudice,60,1964-07-01
Grzegorz Ryś,61,1964-02-09
Stephen Ameyu Martin Mulla,61,1964-01-10
Konrad Krajewski,61,1963-11-25
"Dominique Joseph Mathieu, O.F.M. Conv.",61,1963-06-13
Peter Ebere Okpaleke,62,1963-03-01
Domenico Battaglia,62,1963-01-20
Victor Manuel Fernández,62,1962-07-18
"Jean-Paul Vesco, O.P.",63,1962-03-10
Luis José Rueda Aparicio,63,1962-03-03
Soane Patita Paini Mafi,63,1961-12-19
Anthony Poola,63,1961-11-15
Ignace Bessi Dogbo,63,1961-08-17
"Jaime Spengler, O.F.M.",64,1960-09-06
"Ángel Fernández Artime, S.D.B.",64,1960-08-21
Protase Rugambwa,64,1960-05-31
"Fridolin Ambongo Besungu, O.F.M. Cap.",65,1960-01-24
Sérgio da Rocha,65,1959-10-21
"Stephen Chow Sau-yan, S.J.",65,1959-08-07
"Daniel Fernando Sturla Berhouet, S.D.B.",65,1959-07-04
Baselios Cleemis Thottunkal,65,1959-06-15
Pablo Virgilio Siongco David,66,1959-03-02
Jean-Marc Noël Aveline,66,1958-12-26
Chibly Langlois,66,1958-11-29
Antoine Kambanda,66,1958-11-10
"Tarcisius Isao Kikuchi, S.V.D.",66,1958-11-01
"Ángel Sixto Rossi, S.J.",66,1958-08-11
"Jean-Claude Hollerich, S.J.",66,1958-08-09
"Gérald Cyprien Lacroix, I.S.P.X.",67,1957-07-27
William Goh Seng Chye,67,1957-06-25
Luis Antonio Gokim Tagle,67,1957-06-21
Fernando Natalio Chomali Garib,67,1957-05-10
Mario Grech,68,1957-02-20
"John Ribat, M.S.C.",68,1957-02-09
Stephen Brislin,68,1956-09-24
"Ladislav Német, S.V.D.",68,1956-09-07
Rainer Maria Woelki,68,1956-08-18
Matteo Maria Zuppi,69,1955-10-11
"Luis Gerardo Cabrera Herrera, O.F.M.",69,1955-10-11
Claudio Gugerotti,69,1955-10-07
"Robert Francis Prevost, O.S.A.",69,1955-09-14
Pietro Parolin,70,1955-01-17
Désiré Tsarahazana,70,1954-06-13
Robert Walter McElroy,71,1954-02-05
Angelo De Donatis,71,1954-01-04
Reinhard Marx,71,1953-09-21
Willem Jacobus Eijk,71,1953-06-22
Filipe Neri António Sebastião do Rosário Ferrão,72,1953-01-20
Péter Erdő,72,1952-06-25
"Vicente Bokalic Iglic, C.M.",72,1952-06-11
"Cristóbal López Romero, S.D.B.",72,1952-05-19
"Joseph William Tobin, C.SS.R.",73,1952-05-03
Jose Fuerte Advincula,73,1952-03-30
Dominique François Joseph Mamberti,73,1952-03-07
Lazzaro You Heung-sik,73,1951-11-17
Sebastian Francis,73,1951-11-11
Adalberto Martínez Flores,73,1951-07-08
"Leonardo Ulrich Steiner, O.F.M.",74,1950-11-06
Philippe Christian Ignace Marie Barbarin,74,1950-10-17
Oscar Cantoni,74,1950-09-01
Ignatius Suharyo Hardjoatmodjo,74,1950-07-09
"Orani João Tempesta, O. Cist.",74,1950-06-23
Kurt Koch,75,1950-03-15
Arthur Roche,75,1950-03-06
Carlos Gustavo Castillo Mattasoglio,75,1950-02-28
Timothy Michael Dolan,75,1950-02-06
Kazimierz Nycz,75,1950-02-01
Carlos Aguiar Retes,75,1950-01-09
Arlindo Gomes Furtado,75,1949-11-15
James Michael Harvey,75,1949-10-20
"Anders Arborelius, O.C.D.",75,1949-09-24
Odilo Pedro Scherer,75,1949-09-21
Francis Xavier Kriengsak Kovithavanij,75,1949-06-27
Daniel Nicholas DiNardo,75,1949-05-23
Josip Bozanić,76,1949-03-20
Blase Joseph Cupich,76,1949-03-19
Leopoldo José Brenes Solórzano,76,1949-03-07
Thomas Aquino Manyo Maeda,76,1949-03-03
José Francisco Robles Ortega,76,1949-03-02
"Charles Maung Bo, S.D.B.",76,1948-10-29
Peter Kodwo Appiah Turkson,76,1948-10-11
Giuseppe Petrocchi,76,1948-08-19
Manuel José Macário do Nascimento Clemente,76,1948-07-16
"Berhaneyesus Demerew Souraphiel, C.M.",76,1948-07-14
Juan de la Caridad García Rodríguez,76,1948-07-11
Louis Raphaël I Sako,76,1948-07-04
Raymond Leo Burke,76,1948-06-30
John Atcherley Dew,76,1948-05-05
Gerhard Ludwig Müller,77,1947-12-31
Marcello Semeraro,77,1947-12-22
Wilton Daniel Gregory,77,1947-12-07
Mario Aurelio Poli,77,1947-11-29
Albert Malcolm Ranjith Patabendige Don,77,1947-11-15
Kevin Joseph Farrell,77,1947-09-02
Álvaro Leonel Ramazzini Imeri,77,1947-07-16
Jozef De Kesel,77,1947-06-17
António Augusto dos Santos Marto,77,1947-05-05
João Bráz de Aviz,78,1947-04-24
Giuseppe Betori,78,1947-02-25
Emil Paul Tscherrig,78,1947-02-03
Thomas Christopher Collins,78,1947-01-16
"Michael Czerny, S.J.",78,1946-07-18
Francesco Montenegro,78,1946-05-22
Juan José Omella Omella,79,1946-04-21
Fernando Filoni,79,1946-04-15
Christophe Louis Yves Georges Pierre,79,1946-01-30
Mario Zenari,79,1946-01-05
John Njue,79,1946-01-01
Philippe Nakellentuba Ouédraogo,79,1945-12-31
Jean-Pierre Kutwa,79,1945-12-22
Vincent Gerard Nichols,79,1945-11-08
Antonio Cañizares Llovera,79,1945-10-15
Vinko Puljić,79,1945-09-08
"Timothy Peter Joseph Radcliffe, O.P.",79,1945-08-22
Joseph Coutts,79,1945-07-21
Stanisław Ryłko,79,1945-07-04
Robert Sarah,79,1945-06-15
Carlos Osoro Sierra,79,1945-05-16
