elector_id,gc_id,ch_id,cs_id,name_clean,name_clean_ascii,dob,date_cardinal,country,ideology_score,cs_total_score
0,0,19,,mykolacardinalbychok,mykolacardinalbychok,1980-02-13,2024-12-07,Melbourne (Ukrainian),,
1,1,73,,giorgiocardinalmarengo,giorgiocardinalmarengo,1974-06-07,2022-08-27,,,
2,2,2,,américo manuelcardinalalves aguiar,americo manuelcardinalalves aguiar,1973-12-12,2023-09-30,,,
3,3,60,,george jacobcardinalkoovakad,george jacobcardinalkoovakad,1973-08-11,2024-12-07,,,
4,4,71,,rolandascardinalmakrickas,rolandascardinalmakrickas,1972-01-31,2024-12-07,,,
5,5,66,,frankcardinalleo,frankcardinalleo,1971-06-30,2024-12-07,,,
6,6,103,,baldassarecardinalreina,baldassarecardinalreina,1970-11-26,2024-12-07,,,
7,7,18,,françois-xaviercardinalbustillo,francois-xaviercardinalbustillo,1968-11-23,2023-09-30,,,
8,8,38,,virgiliocardinaldo carmo da silva,virgiliocardinaldo carmo da silva,1967-11-27,2022-08-27,,,
9,9,29,,paulo cezarcardinalcosta,paulo cezarcardinalcosta,1967-07-20,2022-08-27,,,
10,10,87,,dieudonnécardinalnzapalainga,dieudonnecardinalnzapalainga,1967-03-14,2016-11-19,,,
11,11,104,,robertocardinalrepole,robertocardinalrepole,1967-01-29,2024-12-07,,,
12,12,79,,josé tolentinocardinalcalaça de mendonça,jose tolentinocardinalcalaca de mendonca,1965-12-15,2019-10-05,,,
13,13,49,,mauro mariacardinalgambetti,mauro mariacardinalgambetti,1965-10-27,2020-11-28,,,
14,14,27,,josécardinalcobo cano,josecardinalcobo cano,1965-09-20,2023-09-30,,,
15,15,96,,pierbattistacardinalpizzaballa,pierbattistacardinalpizzaballa,1965-04-21,2023-09-30,,,
16,16,7,,fabiocardinalbaggio,fabiocardinalbaggio,1965-01-15,2024-12-07,,,
17,17,67,,augusto paolocardinallojudice,augusto paolocardinallojudice,1964-07-01,2020-11-28,,,
18,18,113,,grzegorz wojciechcardinalryś,grzegorz wojciechcardinalrys,1964-02-09,2023-09-30,,,
19,19,81,,stephen ameyu martincardinalmulla,stephen ameyu martincardinalmulla,1964-01-10,2023-09-30,,,
20,20,62,,konradcardinalkrajewski,konradcardinalkrajewski,1963-11-25,2018-06-28,,,
21,21,77,,dominique josephcardinalmathieu,dominique josephcardinalmathieu,1963-06-13,2024-12-07,,,
22,22,88,,peter eberecardinalokpaleke,peter eberecardinalokpaleke,1963-03-01,2022-08-27,,,
23,23,9,,domenicocardinalbattaglia,domenicocardinalbattaglia,1963-01-20,2024-12-07,,,
24,24,43,,victor manuelcardinalfernández,victor manuelcardinalfernandez,1962-07-18,2023-09-30,,,
25,25,130,,jean-paulcardinalvesco,jean-paulcardinalvesco,1962-03-10,2024-12-07,,,
26,26,110,,luis josécardinalrueda aparicio,luis josecardinalrueda aparicio,1962-03-03,2023-09-30,,,
27,27,70,,soane patita painicardinalmafi,soane patita painicardinalmafi,1961-12-19,2015-02-14,,,
28,28,98,,anthonycardinalpoola,anthonycardinalpoola,1961-11-15,2022-08-27,,,
29,29,10,,ignacecardinalbessi dogbo,ignacecardinalbessi dogbo,1961-08-17,2024-12-07,,,
30,30,119,,jaimecardinalspengler,jaimecardinalspengler,1960-09-06,2024-12-07,,,
31,31,44,,ángelcardinalfernández artime,angelcardinalfernandez artime,1960-08-21,2023-09-30,,,
32,32,111,,protasecardinalrugambwa,protasecardinalrugambwa,1960-05-31,2023-09-30,,,
33,33,3,,fridolincardinalambongo besungu,fridolincardinalambongo besungu,1960-01-24,2019-10-05,,,
34,34,107,,sérgiocardinalda rocha,sergiocardinalda rocha,1959-10-21,2016-11-19,,,
35,35,25,,stephencardinalchow sau-yan,stephencardinalchow sau-yan,1959-08-07,2023-09-30,,,
36,36,121,,daniel fernandocardinalsturla berhouet,daniel fernandocardinalsturla berhouet,1959-07-04,2015-02-14,,,
37,37,125,,baselios cleemis (isaac)cardinalthottunkal,baselios cleemis (isaac)cardinalthottunkal,1959-06-15,2012-11-24,,,
38,38,33,,pablo virgilio siongcocardinaldavid,pablo virgilio siongcocardinaldavid,1959-03-02,2024-12-07,,,
39,39,5,,jean-marc noëlcardinalaveline,jean-marc noelcardinalaveline,1958-12-26,2022-08-27,,,
40,40,65,,chiblycardinallanglois,chiblycardinallanglois,1958-11-29,2014-02-22,,,
41,41,57,,antoinecardinalkambanda,antoinecardinalkambanda,1958-11-10,2020-11-28,,,
42,42,58,,tarcisio isaocardinalkikuchi,tarcisio isaocardinalkikuchi,1958-11-01,2024-12-07,,,
43,43,109,,ángel sixtocardinalrossi,angel sixtocardinalrossi,1958-08-11,2023-09-30,,,
44,44,56,,jean-claudecardinalhollerich,jean-claudecardinalhollerich,1958-08-09,2019-10-05,,,
45,45,64,,gérald cypriencardinallacroix,gerald cypriencardinallacroix,1957-07-27,2014-02-22,,,
46,46,51,,williamcardinalgoh seng chye,williamcardinalgoh seng chye,1957-06-25,2022-08-27,,,
47,47,123,,luis antonio gokimcardinaltagle,luis antonio gokimcardinaltagle,1957-06-21,2012-11-24,,,
48,48,24,,fernando nataliocardinalchomalí garib,fernando nataliocardinalchomali garib,1957-03-10,2024-12-07,,,
49,49,52,,mariocardinalgrech,mariocardinalgrech,1957-02-20,2020-11-28,,,
50,50,105,,johncardinalribat,johncardinalribat,1957-02-09,2016-11-19,,,
51,51,16,,stephencardinalbrislin,stephencardinalbrislin,1956-09-24,2023-09-30,,,
52,52,83,,ladislavcardinalnemet,ladislavcardinalnemet,1956-09-07,2024-12-07,,,
53,53,131,,rainer mariacardinalwoelki,rainer mariacardinalwoelki,1956-08-18,2012-02-18,,,
54,54,134,,matteo mariacardinalzuppi,matteo mariacardinalzuppi,1955-10-11,2019-10-05,,,
55,55,20,,luis gerardocardinalcabrera herrera,luis gerardocardinalcabrera herrera,1955-10-11,2024-12-07,,,
56,56,54,,claudiocardinalgugerotti,claudiocardinalgugerotti,1955-10-07,2023-09-30,,,
57,57,99,,robert franciscardinalprevost,robert franciscardinalprevost,1955-09-14,2023-09-30,,,
58,58,92,,pietrocardinalparolin,pietrocardinalparolin,1955-01-17,2014-02-22,,,
59,59,127,,désirécardinaltsarahazana,desirecardinaltsarahazana,1954-06-13,2018-06-28,,,
