Birthdate,Age,Elevated,Name,Current Title,ProfileLink,ch_id
30 Mar1952,73.0,28 Nov 2020,Jose Lazaro FuerteCardinalAdvincula Jr.,"Archbishop ofManila,Philippines",https://www.catholic-hierarchy.org/bishop/badvi.html,0
9 Jan1950,75.3,19 Nov 2016,CarlosCardinalAguiar Retes,"Archbishop ofMéxico, Federal District",https://www.catholic-hierarchy.org/bishop/baguiar.html,1
12 Dec1973,51.3,30 Sep 2023,Américo ManuelCardinalAlves Aguiar,"Bishop ofSetúbal,Portugal",https://www.catholic-hierarchy.org/bishop/balvagu.html,2
24 Jan1960,65.2,5 Oct 2019,FridolinCardinalAmbongo Besungu,"Archbishop ofKinshasa,Congo (Dem. Rep.)",https://www.catholic-hierarchy.org/bishop/bbesu.html,3
24 Sep1949,75.5,28 Jun 2017,AndersCardinalArborelius,"Bishop ofStockholm,Sweden",https://www.catholic-hierarchy.org/bishop/barbor.html,4
26 Dec1958,66.3,27 Aug 2022,Jean-Marc NoëlCardinalAveline,"Archbishop ofMarseille,France",https://www.catholic-hierarchy.org/bishop/baveline.html,5
24 Apr1947,78.0,18 Feb 2012,JoãoCardinalBráz de Aviz,Prefect Emeritus of the Dicastery forInstitutes of Consecrated Life and Societies of Apostolic Life,https://www.catholic-hierarchy.org/bishop/bbraza.html,6
15 Jan1965,60.2,7 Dec 2024,FabioCardinalBaggio,Under Secretary of the Dicastery forPromoting Integral Human Development,https://www.catholic-hierarchy.org/bishop/bbaggiof.html,7
17 Oct1950,74.5,21 Oct 2003,Philippe Xavier Christian Ignace MarieCardinalBarbarin,"Archbishop Emeritus ofLyon,France",https://www.catholic-hierarchy.org/bishop/bbarbarin.html,8
20 Jan1963,62.2,7 Dec 2024,DomenicoCardinalBattaglia,"Archbishop ofNapoli {Naples},Italy",https://www.catholic-hierarchy.org/bishop/bbattd.html,9
17 Aug1961,63.6,7 Dec 2024,IgnaceCardinalBessi Dogbo,"Archbishop ofAbidjan,Côte d’Ivoire",https://www.catholic-hierarchy.org/bishop/bbessi.html,10
25 Feb1947,78.1,18 Feb 2012,GiuseppeCardinalBetori,"Archbishop Emeritus ofFirenze {Florence},Italy",https://www.catholic-hierarchy.org/bishop/bbetori.html,11
29 Oct1948,76.4,14 Feb 2015,Charles MaungCardinalBo,"Archbishop ofYangon,Myanmar",https://www.catholic-hierarchy.org/bishop/bbocm.html,12
11 Jun1952,72.8,7 Dec 2024,VicenteCardinalBokalic Iglic,"Archbishop ofSantiago del Estero,Argentina",https://www.catholic-hierarchy.org/bishop/bbokalic.html,13
20 Mar1949,76.1,21 Oct 2003,JosipCardinalBozanić,"Archbishop Emeritus ofZagreb,Croatia",https://www.catholic-hierarchy.org/bishop/bbozanic.html,14
7 Mar1949,76.1,22 Feb 2014,Leopoldo JoséCardinalBrenes Solórzano,"Archbishop ofManagua,Nicaragua",https://www.catholic-hierarchy.org/bishop/bbrenes.html,15
24 Sep1956,68.5,30 Sep 2023,StephenCardinalBrislin,"Archbishop ofJohannesburg,South Africa",https://www.catholic-hierarchy.org/bishop/bbrislin.html,16
30 Jun1948,76.8,20 Nov 2010,Raymond LeoCardinalBurke,Prefect Emeritus of theApostolic Signatura,https://www.catholic-hierarchy.org/bishop/bburke.html,17
23 Nov1968,56.4,30 Sep 2023,François-XavierCardinalBustillo,"Bishop ofAjaccio,France",https://www.catholic-hierarchy.org/bishop/bbustillo.html,18
13 Feb1980,45.2,7 Dec 2024,MykolaCardinalBychok,"Bishop ofSaints Peter and Paul of Melbourne (Ukrainian),Australia",https://www.catholic-hierarchy.org/bishop/bbychok.html,19
11 Oct1955,69.5,7 Dec 2024,Luis GerardoCardinalCabrera Herrera,"Archbishop ofGuayaquil,Ecuador",https://www.catholic-hierarchy.org/bishop/bcahe.html,20
15 Oct1945,79.5,24 Mar 2006,AntonioCardinalCañizares Llovera,"Archbishop Emeritus ofValencia,Spain",https://www.catholic-hierarchy.org/bishop/bcaniz.html,21
1 Sep1950,74.6,27 Aug 2022,OscarCardinalCantoni,"Bishop ofComo,Italy",https://www.catholic-hierarchy.org/bishop/bcantoni.html,22
28 Feb1950,75.1,7 Dec 2024,Carlos GustavoCardinalCastillo Mattasoglio,"Archbishop ofLima,Peru",https://www.catholic-hierarchy.org/bishop/bcasmat.html,23
10 Mar1957,68.1,7 Dec 2024,Fernando NatalioCardinalChomalí Garib,Archbishop ofSantiago de Chile,https://www.catholic-hierarchy.org/bishop/bchga.html,24
