Cardinal Electors(135),Age,Date ofBirth,gc_id
"Bychok, Mykola,C.SS.R.(45)(Ukrainian Rite),Cardinal-PriestofS. Sofia a Via BocceaandBishopofSaints Peter and Paul of Melbourneof theUkrainians(Australia)",45,1980.02.13,0
"Marengo, Giorgio,I.M.C.(50),Cardinal-PriestofS. Giuda Taddeo ApostoloandPrefect ApostolicofUlaanbaatar(Mongolia)",50,1974.06.07,1
"Alves Aguiar, Américo Manuel(51),Cardinal-PriestofS. Antonio da Padova in Via MerulanaandBishopofSetúbal(Portugal)",51,1973.12.12,2
"Koovakad, George Jacob(51)(Syro-Malabar Rite),Cardinal-DeaconofS. Antonio di Padova a Circonvallazione AppiaandPrefectofDicastery for Interreligious Dialogue",51,1973.08.11,3
"Makrickas, Rolandas(53),Cardinal-DeaconofS. EustachioandCoadjutor ArchpriestofPapal Basilica of Saint Mary Major",53,1972.01.31,4
"Leo, Frank(53),Cardinal-PriestofS. Maria della Salute a PrimavalleandMetropolitan ArchbishopofToronto(Canada)",53,1971.06.30,5
"Reina, Baldassare(54),Cardinal-PriestofS. Maria Assunta e S. Giuseppe a Primavalle,ArchpriestofPapal Archbasilica of Saint John Lateran,Vicar General for the Vicariate of RomeofRoma(Italy),Apostolic AdministratorofOstia(Italy)andGrand ChancellorofPontifical Lateran University",54,1970.11.26,6
"Bustillo, François-Xavier,O.F.M. Conv.(56),Cardinal-PriestofS. Maria Immacolata di Lourdes a BocceaandBishopofAjaccio(France)",56,1968.11.23,7
"da Silva, Virgilio do Carmo,S.D.B.(57),Cardinal-PriestofS. Alberto Magno,Metropolitan ArchbishopofDíli(Timor-Leste)andVice-PresidentofEpiscopal Conference of Timor",57,1967.11.27,8
"Costa, Paulo Cezar(57),Cardinal-PriestofSs. Bonifacio ed AlessioandMetropolitan ArchbishopofBrasília(Brazil)",57,1967.07.20,9
"Nzapalainga, Dieudonné,C.S.Sp.(58),Cardinal-PriestofS. Andrea della ValleandMetropolitan ArchbishopofBangui(Central African Republic)",58,1967.03.14,10
"Repole, Roberto(58),Cardinal-PriestofGesù Divin Maestro alla Pineta Sacchetti,Metropolitan ArchbishopofTorino(Italy)andBishopofSusa(Italy)",58,1967.01.29,11
"de Mendonça, José Tolentino Calaça(59),Cardinal-DeaconofSs. Domenico e Sisto,PrefectofDicastery for Culture and Education,Grand ChancellorofPontifical Biblical Institute (Biblicum),Grand ChancellorofPontifical Institute of Arab and Islamic Studies,Grand ChancellorofPontifical Institute of Christian Archaeology,Grand ChancellorofPontifical Institute of Sacred MusicandGrand ChancellorofPontifical Gregorian University",59,1965.12.15,12
"Gambetti, Mauro,O.F.M. Conv.(59),Cardinal-DeaconofSS. Nome di Maria al Foro Traiano,PresidentofFabric of Saint Peter,ArchpriestofPapal Basilica of Saint PeterandVicar General for the Vatican City StateofRoma(Italy)",59,1965.10.27,13
"Cobo Cano, José(59),Cardinal-PriestofS. Maria in Monserrato degli Spagnoli,Metropolitan ArchbishopofMadrid(Spain),OrdinaryofSpainof theEastern Rite(Spain)andVice-PresidentofEpiscopal Conference of Spain",59,1965.09.20,14
"Pizzaballa, Pierbattista,O.F.M.(60),Cardinal-PriestofS. Onofrio,PatriarchofJerusalem(Palestine),PresidentofConference of the Latin Bishops of the Arab Regions,PresidentofAssembly of Catholic Ordinaries of the Holy LandandGrand PriorofEquestrian Order of the Holy Sepulchre of Jerusalem (Knights of the Holy Sepulchre)",60,1965.04.21,15
"Baggio, Fabio,C.S.(60),Cardinal-DeaconofS. Filippo Neri in Eurosia,UndersecretaryofDicastery for Promoting Integral Human DevelopmentandSecretaryofVatican COVID-19 Commission",60,1965.01.15,16
"Lojudice, Augusto Paolo(60),Cardinal-PriestofS. Maria del Buon Consiglio,Metropolitan ArchbishopofSiena–Colle di Val d’Elsa–Montalcino(Italy)andBishopofMontepulciano–Chiusi–Pienza(Italy)",60,1964.07.01,17
"Ryś, Grzegorz(61),Cardinal-PriestofSs. Cirillo e MetodioandMetropolitan ArchbishopofŁódź(Poland)",61,1964.02.09,18
"Mulla, Stephen Ameyu Martin(61),Cardinal-PriestofS. Gemma Galgani,Metropolitan ArchbishopofJuba(South Sudan)andPresidentofConference of Bishops of Sudan and South Sudan",61,1964.01.10,19
"Krajewski, Konrad(61),Cardinal-DeaconofS. Maria Immacolata all’Esquilino,Almoner of His HolinessofDicastery for the Service of CharityandMemberofCommission of Cardinals overseeing the Institute for Works of Religion",61,1963.11.25,20
"Mathieu, Dominique Joseph,O.F.M. Conv.(61),Cardinal-PriestofS. Giovanna Antida Thouret,ArchbishopofTehran–Isfahan(Iran)andPresidentofIranian Episcopal Conference",61,1963.06.13,21
"Okpaleke, Peter Ebere(62),Cardinal-PriestofSs. Martiri dell’Uganda a Poggio AmenoandBishopofEkwulobia(Nigeria)",62,1963.03.01,22
"Battaglia, Domenico(62),Cardinal-PriestofS. Marco in Agro LaurentinoandMetropolitan ArchbishopofNapoli(Italy)",62,1963.01.20,23
"Fernández, Victor Manuel(62),Cardinal-DeaconofSs. Urbano e Lorenzo a Prima Porta,PrefectofDicastery for the Doctrine of the Faith,PresidentofPontifical Biblical Commission,PresidentofInternational Theological CommissionandMetropolitan Archbishopemeritus ofLa Plata(Argentina)",62,1962.07.18,24
"Vesco, Jean-Paul,O.P.(63),Cardinal-PriestofS. Cuore di Gesù agonizzante a Vitinia,Metropolitan ArchbishopofAlger–Iulia Caesarea(Algeria)andVice-PresidentofRegional Episcopal Conference of North Africa",63,1962.03.10,25
"Rueda Aparicio, Luis José(63),Cardinal-PriestofS. Luca a Via PrenestinaandMetropolitan ArchbishopofBogotá(Colombia)",63,1962.03.03,26
"Mafi, Soane Patita Paini(63),Cardinal-PriestofS. Paola RomanaandBishopofTonga(Tonga)",63,1961.12.19,27
"Poola, Anthony(63),Cardinal-PriestofSs. Protomartiri a Via Aurelia AnticaandMetropolitan ArchbishopofHyderabad(India)",63,1961.11.15,28
"Bessi Dogbo, Ignace(63),Cardinal-PriestofSs. Mario e Compagni MartiriandMetropolitan ArchbishopofAbidjan(Cote d’Ivoire)",63,1961.08.17,29
"Spengler, Jaime,O.F.M.(64),Cardinal-PriestofS. Gregorio Magno alla Magliana Nuova,Metropolitan ArchbishopofPorto Alegre(Brazil),PresidentofNational Conference of Bishops of BrazilandPresidentofLatin American Episcopal Council",64,1960.09.06,30
"Fernández Artime, Ángel,S.D.B.(64),Cardinal-DeaconofS. Maria Ausiliatrice in Via TuscolanaandPro-PrefectofDicastery for Institutes of Consecrated Life and for Societies of Apostolic Life",64,1960.08.21,31
"Rugambwa, Protase(64),Cardinal-PriestofS. Maria in MontesantoandMetropolitan ArchbishopofTabora(Tanzania)",64,1960.05.31,32
"Ambongo Besungu, Fridolin,O.F.M. Cap.(65),Cardinal-PriestofS. Gabriele Arcangelo all’Acqua Traversa,Metropolitan ArchbishopofKinshasa(Congo-Kinshasa),PresidentofSymposium of Episcopal Conferences of Africa and MadagascarandMemberofCouncil of Cardinals",65,1960.01.24,33
"da Rocha, Sérgio(65),Cardinal-PriestofS. Croce in Via Flaminia,Metropolitan ArchbishopofSão Salvador da Bahia(Brazil)andMemberofCouncil of Cardinals",65,1959.10.21,34
"Chow Sau-yan, Stephen,S.J.(周守仁)(65),Cardinal-PriestofS. Giovanni Battista de La SalleandBishopofHong Kong 香港(Hong Kong)",65,1959.08.07,35
